Club,Competition,Age,Squad_size,Market_value,Market_value_of_players,MV_Top_18_players,Share_of_MV
Fenerbahce SK,Süper Lig,25.3,32,114.33,3.57,102.5,0.897
FK Krasnodar,Premier Liga,27.6,24,113.25,4.72,109.1,0.963
AFC Bournemouth,Championship,25.4,25,113.05,4.52,109.9,0.972
Levante UD,LaLiga,28.1,28,112.5,4.02,104.1,0.925
GNK Dinamo Zagreb,1.HNL,26.2,29,109.2,3.77,99.4,0.91
Hellas Verona,Serie A,26.7,26,108.45,4.17,99.9,0.9209999999999999
Rangers FC,Premiership,27.5,29,105.0,3.62,98.7,0.94
Club Atlético River Plate,Liga Profesional,27.7,29,103.93,3.58,96.35,0.927
Galatasaray A.S.,Süper Lig,26.7,31,102.18,3.3,86.83,0.85
Udinese Calcio,Serie A,27.7,25,101.45,4.06,95.2,0.938
Feyenoord Rotterdam,Eredivisie,23.5,28,101.4,3.62,98.9,0.975
1.FSV Mainz 05,Bundesliga,25.5,25,100.5,4.02,96.3,0.958
RCD Espanyol Barcelona,LaLiga,27.6,25,100.3,4.01,90.3,0.9
Genoa CFC,Serie A,27.5,34,99.2,2.92,86.0,0.867
Clube Atlético Mineiro,Série A,26.9,31,98.45,3.18,84.95,0.863
FC Augsburg,Bundesliga,26.1,28,97.1,3.47,88.0,0.9059999999999999
Lokomotiv Moscow,Premier Liga,24.8,29,97.03,3.35,86.5,0.892
Trabzonspor,Süper Lig,26.7,29,96.3,3.32,89.0,0.924
CA Osasuna,LaLiga,27.7,27,93.5,3.46,86.6,0.9259999999999999
